,Language,Problem,ID,Runtimes
93,Cs,Mandelbrot,1,3
94,Cs,Mandelbrot,2,2
95,Cs,Mandelbrot,3,4
96,Cs,Mandelbrot,4,3
97,Cs,Mandelbrot,5,4
98,Cs,Mandelbrot,6,3
99,Cs,Nbody,1,1
100,Cs,Nbody,2,1
101,Cs,Nbody,3,1
102,Cs,Nbody,4,1
103,Cs,Nbody,5,1
104,Cs,Nbody,6,1
105,Cs,Nbody,8,1
106,Cs,Revcomp,1,7
107,Cs,Revcomp,2,7
108,Cs,Revcomp,3,3
109,Cs,Revcomp,4,7
110,Cs,Revcomp,5,7
111,Cs,Revcomp,6,7
112,Cs,Spectralnorm,1,1
113,Cs,Spectralnorm,3,2
114,Yarv,Binarytrees,1,1
115,Yarv,Binarytrees,2,1
116,Yarv,Binarytrees,3,1
117,Yarv,Binarytrees,4,1
118,Yarv,Fannkuchredux,1,1
119,Yarv,Fannkuchredux,2,1
120,Yarv,Fasta,2,1
121,Yarv,Fasta,3,1
122,Yarv,Fasta,4,1
123,Yarv,Fasta,5,1
124,Yarv,Fasta,6,1
125,Yarv,Mandelbrot,1,1
126,Yarv,Mandelbrot,2,1
127,Yarv,Mandelbrot,3,1
128,Yarv,Mandelbrot,6,1
129,Yarv,Mandelbrot,7,1
130,Yarv,Nbody,2,1
131,Yarv,Revcomp,2,2
132,Yarv,Revcomp,3,4
133,Yarv,Spectralnorm,1,1
134,Yarv,Spectralnorm,4,1
135,Yarv,Spectralnorm,5,1
136,C-flags,Binarytrees,1,1
137,C-flags,Binarytrees,5,2
138,C-noflags,Binarytrees,1,1
139,C-noflags,Binarytrees,5,2
140,C-flags,Fannkuchredux,1,1
141,C-flags,Fannkuchredux,2,1
142,C-flags,Fannkuchredux,3,1
143,C-flags,Fannkuchredux,4,1
144,C-flags,Fannkuchredux,5,3
145,C-noflags,Fannkuchredux,1,1
146,C-noflags,Fannkuchredux,2,1
147,C-noflags,Fannkuchredux,3,1
148,C-noflags,Fannkuchredux,4,1
149,C-noflags,Fannkuchredux,5,1
150,C-flags,Fasta,1,2
151,C-flags,Fasta,2,6
152,C-flags,Fasta,4,2
153,C-flags,Fasta,5,4
154,C-flags,Fasta,6,4
155,C-flags,Fasta,7,4
156,C-noflags,Fasta,1,2
157,C-noflags,Fasta,2,2
158,C-noflags,Fasta,4,2
159,C-noflags,Fasta,5,2
160,C-noflags,Fasta,6,10
161,C-noflags,Fasta,7,2
162,C-flags,Mandelbrot,1,4
163,C-flags,Mandelbrot,2,1
164,C-flags,Mandelbrot,3,4
165,C-flags,Mandelbrot,6,18
166,C-noflags,Mandelbrot,1,2
167,C-noflags,Mandelbrot,2,1
168,C-noflags,Mandelbrot,3,2
169,C-noflags,Mandelbrot,6,2
170,C-flags,Nbody,1,2
171,C-flags,Nbody,2,2
172,C-flags,Nbody,3,2
173,C-flags,Nbody,4,2
174,C-flags,Nbody,5,2
175,C-flags,Nbody,6,2
176,C-noflags,Nbody,1,2
177,C-noflags,Nbody,2,2
178,C-noflags,Nbody,3,2
179,C-noflags,Nbody,4,2
180,C-noflags,Nbody,5,2
181,C-noflags,Nbody,6,2
182,C-flags,Revcomp,1,10
183,C-flags,Revcomp,2,10
184,C-flags,Revcomp,3,10
185,C-flags,Revcomp,4,10
186,C-flags,Revcomp,5,10
187,C-flags,Revcomp,6,10
188,C-noflags,Revcomp,1,10
189,C-noflags,Revcomp,2,10
190,C-noflags,Revcomp,3,10
191,C-noflags,Revcomp,4,10
192,C-noflags,Revcomp,5,10
193,C-noflags,Revcomp,6,10
194,C-flags,Spectralnorm,1,2
195,C-flags,Spectralnorm,3,20
196,C-flags,Spectralnorm,4,32
197,C-flags,Spectralnorm,5,32
198,C-noflags,Spectralnorm,1,1
199,C-noflags,Spectralnorm,3,2
200,C-noflags,Spectralnorm,4,20
201,C-noflags,Spectralnorm,5,3
202,C++-flags,Binarytrees,1,8
203,C++-flags,Binarytrees,3,10
204,C++-flags,Binarytrees,8,10
205,C++-noflags,Binarytrees,1,1
206,C++-noflags,Binarytrees,3,1
207,C++-noflags,Binarytrees,8,1
208,C++-flags,Fannkuchredux,1,5
209,C++-flags,Fannkuchredux,4,1
210,C++-flags,Fannkuchredux,6,1
211,C++-flags,Fannkuchredux,7,1
212,C++-noflags,Fannkuchredux,1,1
213,C++-noflags,Fannkuchredux,4,1
214,C++-noflags,Fannkuchredux,6,1
215,C++-noflags,Fannkuchredux,7,1
216,C++-flags,Fasta,1,3
217,C++-flags,Fasta,2,3
218,C++-flags,Fasta,3,3
219,C++-flags,Fasta,4,3
220,C++-flags,Fasta,6,6
221,C++-noflags,Fasta,1,2
222,C++-noflags,Fasta,2,2
223,C++-noflags,Fasta,3,2
224,C++-noflags,Fasta,4,2
225,C++-noflags,Fasta,6,2
226,C++-flags,Mandelbrot,2,1
227,C++-flags,Mandelbrot,3,1
228,C++-flags,Mandelbrot,5,1
229,C++-flags,Mandelbrot,6,36
230,C++-flags,Mandelbrot,8,8
231,C++-flags,Mandelbrot,9,18
232,C++-noflags,Mandelbrot,2,1
233,C++-noflags,Mandelbrot,3,1
234,C++-noflags,Mandelbrot,5,1
235,C++-noflags,Mandelbrot,6,1
236,C++-noflags,Mandelbrot,8,1
237,C++-noflags,Mandelbrot,9,1
238,C++-flags,Nbody,1,2
239,C++-flags,Nbody,3,4
240,C++-flags,Nbody,4,12
241,C++-flags,Nbody,5,4
242,C++-flags,Nbody,6,2
243,C++-flags,Nbody,7,12
244,C++-flags,Nbody,8,4
245,C++-noflags,Nbody,1,1
246,C++-noflags,Nbody,3,1
247,C++-noflags,Nbody,4,1
248,C++-noflags,Nbody,5,1
249,C++-noflags,Nbody,6,1
250,C++-noflags,Nbody,7,1
251,C++-noflags,Nbody,8,1
252,C++-flags,Revcomp,1,8
253,C++-flags,Revcomp,2,20
254,C++-flags,Revcomp,3,10
255,C++-flags,Revcomp,4,20
256,C++-flags,Revcomp,5,1
257,C++-noflags,Revcomp,1,1
258,C++-noflags,Revcomp,2,10
259,C++-noflags,Revcomp,3,10
260,C++-noflags,Revcomp,4,20
261,C++-noflags,Revcomp,5,1
262,C++-flags,Spectralnorm,1,2
263,C++-flags,Spectralnorm,5,40
264,C++-flags,Spectralnorm,6,40
265,C++-flags,Spectralnorm,8,20
266,C++-noflags,Spectralnorm,1,2
267,C++-noflags,Spectralnorm,5,40
268,C++-noflags,Spectralnorm,6,40
269,C++-noflags,Spectralnorm,8,20
